Row,Price,Value
1,170.05,-0.76
2,170.73,0.91
3,171.00,-0.45
4,171.29,0.91
5,171.23,0.89
6,171.52,-0.72
7,171.46,-0.63
8,171.35,-0.34
9,171.49,0.58
10,171.32,0.11
11,171.39,0.15
12,171.23,-0.91
13,171.19,0.37
14,171.27,-0.33
15,171.21,0.18
16,171.37,-0.61
17,171.46,0.81
18,171.36,0.45
19,171.26,-0.97
20,171.33,0.56
21,171.28,0.21
22,171.50,0.56
23,171.48,-0.37
24,171.54,0.16
25,171.60,-0.99
26,171.68,0.07
27,171.68,-0.68
28,171.89,0.23
29,171.99,0.67
30,171.92,0.78
31,171.96,0.24
32,171.99,0.97
33,171.99,0.37
34,171.89,0.28
35,171.77,-0.69
36,171.85,-0.25
37,171.95,-0.78
38,172.08,-0.88
39,172.25,0.19
40,173.10,0.27
41,173.12,0.08
42,173.87,-0.06
43,174.17,0.18
44,173.93,0.11
45,174.04,0.67
46,174.42,-0.75
47,174.27,-0.71
48,174.17,-0.44
49,174.24,-0.32
50,174.09,0.53
51,173.96,0.85
52,173.68,-0.72
53,173.67,-0.9
54,173.66,-0.1
55,173.62,0.5
56,173.58,-0.6
57,173.49,0.33
58,173.41,0.54
59,173.47,0.87
60,173.32,0.61
61,173.15,0.84
62,173.37,0.2
63,173.37,-0.67
64,173.25,0.13
65,173.08,0.57
66,172.98,-0.08
67,172.88,-0.66
68,172.99,-0.97
69,172.88,0.98
70,172.71,0.22
71,172.74,-0.95
72,172.38,0.32
73,172.33,0.73
74,172.42,-0.88
75,172.26,0.17
76,172.48,-0.19
77,172.13,0.78
78,172.22,-0.58
79,172.68,-0.56
80,172.78,-0.99
81,172.90,-0.44
82,173.11,-0.82
83,173.36,-0.25
84,173.17,0.65
85,173.25,-0.64
86,173.12,0.48
87,172.96,-0.05
88,172.90,0.01
89,172.99,-0.54
90,173.17,-0.7
91,173.26,-0.32
92,173.26,0.37
93,173.03,0.26
94,173.16,-0.42
95,173.02,-0.5
96,172.75,0.99
97,172.78,0.4
98,172.89,-0.17
99,172.83,-0.24
100,172.76,-0.29
101,172.85,-0.22
102,172.68,-0.83
103,172.76,-0.88
104,172.88,0.45
105,172.93,0.38
106,172.95,-0.26
107,173.01,0.94
108,172.92,0.7
109,172.89,0.67
110,173.09,0.45
111,173.12,0.8
112,173.07,-0.76
113,173.14,0.41
114,173.10,-0.99
115,173.07,-0.02
116,173.16,0.1
117,172.99,0.36
118,173.66,0
119,174.08,-0.61
120,174.09,0.73
121,173.99,-1
122,174.65,0.48
123,174.69,0.14
124,174.85,0.13
125,174.96,0.73
126,175.13,0.58
127,175.03,0.11
128,175.06,-0.61
129,174.95,0.68
130,174.86,0.35
131,174.77,-0.3
132,174.94,-0.24
133,174.81,0.07
134,174.84,0.84
135,174.71,-0.87
136,174.72,0.69
137,174.88,-0.9
138,174.85,-0.5
139,174.88,0.79
140,174.85,-0.39
141,174.83,-0.47
142,174.80,0.69
143,174.90,0.47
144,175.02,-0.51
145,174.95,-0.02
146,174.90,0.21
147,174.96,0.3
148,174.90,-0.31
149,174.78,0.44
150,174.85,-0.25
151,174.88,-0.86
152,174.87,0.84
153,174.92,0.23
154,174.97,-0.99
155,175.05,-0.9
